text,label
Trump calls global currency devaluations 'dangerous' for U.S,Human
U.S. hedge fund managers pour money into 2016 race and Trump is a factor,Human
Cleveland newspaper endorses Republican Kasich for president,Human
Republicans sue State Department for Clinton emails,Human
Rubio says he regrets getting personal with Donald Trump,Human
White House interviewing five potential U.S. Supreme Court nominees: source,Human
U.S. court to re-examine decision striking down of Texas voter ID law,Human
"No Obama meeting with Fidel Castro, dissident talks on track: White House",Human
Fate of lawsuit brought by Trump model to be decided this month,Human
Pennsylvania gun control advocates challenge law on city gun rules,Human
Clinton's surprise Michigan loss exposes risks for her on trade,Human
Florida lawmakers: Couples can move in without saying 'I do',Human
"U.S., Canada put pipeline fight in the past with state dinner",Human
"Biden, Netanyahu discuss Iran, Islamic State, Syria in Jerusalem meeting",Human
Florida legislature approves controversial abortion restrictions,Human
Senators close to finishing encryption penalties legislation: sources,Human
Kerry says no pressing need for more U.S.-Canada pipeline: CBC,Human
Cuba issues bristling editorial ahead of Obama visit,Human
Missouri Senate Republicans pass anti-gay religious amendment,Human
U.S. senator does not expect Pakistan F-16 sale to be blocked,Human
Chicago Tribune endorses Rubio in 2016 Republican presidential race,Human
FBI hints Iran now cooperating in hunt for missing former agent,Human
Former Republican rival Fiorina backs Cruz's White House bid,Human
Pentagon to review Raytheon GPS control system again in three months,Human
U.N. torture envoy concerned at water-boarding rhetoric in U.S. race,Human
Sanders campaign sues Ohio for not allowing youth votes in primary,Human
Obama starts interviewing candidates for Supreme Court vacancy: NPR,Human
Suspect in shooting of Idaho pastor arrested,Human
Suspect in shooting of Idaho pastor arrested: media,Human
Ryan says U.S. Congress will press for new sanctions against Iran,Human
Trump presidency would not hurt 2024 Olympics bid-LA mayor,Human
Attorney General Lynch asks not to be considered for Supreme Court vacancy,Human
Senator Shelby starts to break banking nominee logjam,Human
Netanyahu's no to Obama no big deal but poorly signaled: White House,Human
U.S. Senate banking panel sets hearing for Obama's SEC nominees,Human
"Obama in 'excellent' health, still using nicotine gum: doctor",Human
"After Jindal, Louisiana reels from corporate tax giveaways",Human
Missouri Democrats filibuster proposed gay discrimination amendment,Human
Virginia becomes first U.S. state to regulate fantasy sports,Human
"Final sentencing reform bill near, says Senate's Grassley",Human
Senator Schumer expects 'mainstream nominee' for Supreme Court,Human
Hillary Clinton to attend Nancy Reagan funeral services,Human
Exclusive: U.S. to announce further easing of Cuba restrictions on March 17 - sources,Human
"White House seeks new climate measures, trade progress in Trudeau visit",Human
Republican Kasich says does not need delegate lead to win nomination,Human
Trump already a tainted name in Indonesia after Muslim ban remarks,Human
U.S. rebuffs Koch-controlled coal company's bid for royalties,Human
"Bloomberg opts out of U.S. presidential bid, calls for centrism",Human
Clinton's pledge to curtail fracking falls on unconvinced ears,Human
"Ryan calls Trump, Cruz to discuss House Republican agenda: report",Human
Israel's Netanyahu declines offer to meet with Obama: White House,Human
"Oklahoma governor wants to use reserve fund to shore up schools, prisons",Human
Apple case exposes ongoing government rift over encryption policy,Human
"Lawmakers to go to Cuba with Obama, who mulls more trade moves",Human
"Pennsylvania governor raises minimum wage for state workers, contractors",Human
U.S. 'disappointed' by India's visa refusal for religious rights panel,Human
Ex-NYC Mayor Bloomberg says he will not enter presidential race,Human
Virginia Senate approves electric chair amid drug shortage,Human
Obama says both left and right are wrong on Wall Street rules,Human
"Canada's Trudeau: won't support Trump, but understands his appeal",Human
U.S. takes North Korea nuclear threats seriously: State Department,Human
NY judge dismisses attempt to block Canada-born Cruz from state's ballot,Human
"Bloomberg opts out of U.S. presidential bid, calls for centrism",Human
Foreign diplomats voicing alarm to U.S. officials about Trump,Human
Factbox: The race to the U.S. presidential nominations: How delegates are selected,Human
"Amid state dinner glamor, a serious agenda for Obama-Trudeau talks",Human
"Flint becomes U.S. Democratic flash point, but residents want action",Human
"Mexican president says won't pay for Trump wall, makes Hitler warning",Human
"Clinton, Sanders both say they can beat Trump during feisty Michigan debate",Human
Ex-Marine chosen to direct U.S. extradition efforts,Human
Republican Rubio projected to win Puerto Rico: media,Human
"German minister calls Trump a threat, Merkel lauds Clinton",Human
"Cruz, Trump split four states in setback for Republican establishment",Human
Republican candidate Cruz wins 2016 CPAC straw poll,Human
"Appellate judges Garland, Srinivasan considered for U.S. top court: NYT",Human
Republican 'Dump Trump' effort struggles to gain traction,Human
Jenner's offer to be 'trans ambassador' for Cruz draws some fire,Human
Obama to visit Patagonian tourist city Bariloche on Argentina trip,Human
Republican Carson officially ends White House bid,Human
Supreme Court temporarily blocks Louisiana abortion law,Human
White House adviser Rhodes to meet with Cuban Americans in Miami next week,Human
Foreign policy thinkers praised by Trump have divergent views,Human
Republican candidate Trump reverses stance on torture,Human
Latest Hillary Clinton bio for kids highlights successes and failures,Human
"Joe the Plumber' praises Trump, cites his 'beautiful women'",Human
Democrat Clinton says China likely to commit more 'bad acts' in trade,Human
Republican governors steer clear of 'dump-Trump' push,Human
Florida mayors press presidential debate moderators for climate airtime,Human
Obama trip to Cuba not affected by cancellation of tentative Kerry visit: White House,Human
"Foreign ministers of U.S., Cuba discuss Obama trip: State Department",Human
Republican Kasich: Presidential contests will lead to brokered convention,Human
Fox News Republican debate draws biggest audience of 2016 contests,Human
Clinton to seek 'clawback' tax on firms that send jobs abroad: aide,Human
"Trump nomination odds wane in online betting, third party run bets up",Human
Obama: Republicans trying to 'talk down' U.S. economy,Human
CPAC says Trump drops out at 'last minute',Human
U.S. Vice President Biden to depart for five-day Middle Eastern trip,Human
You're fired! U.S. school debaters' dim view of Trump's podium style,Human
Texas governor takes aim at 'caustic' tweeter who won county GOP race,Human
"Republicans in tailspin, group forms to draft Ryan for U.S. president",Human
India denies visas to U.S. religious freedom body,Human
Clinton ex-employee tells FBI no sign email server was hacked: NYT,Human
"Republican Romney calls Trump 'a fraud,' creates pathway to contested convention",Human
Obama says he will stay in Washington after he leaves White House: USA Today,Human
Kerry trip to Cuba for rights dialogue canceled: U.S. officials,Human
Exclusive: Koch brothers will not use funds to try to block Trump nomination,Human
Republican foreign policy veterans rebuke Trump worldview,Human
"House Speaker Ryan warns of 'rhetoric,' not of Trump ",Human
2008 Republican nominee John McCain joins Romney in blasting Trump,Human
Text: Mitt Romney speech slamming Donald Trump,Human
"White House to tap law professor, former Hill staffer to serve on CFTC",Human
"Trump, anti-Trump forces start Florida ad battle",Human
Security logs of Clinton email server show no evidence of foreign hacking: NYT,Human
Romney aims to stop Trump at Republican convention: CNN,Human
New York judge weighs Cruz ballot challenge on birthplace issue,Human
Protesters in Kentucky claim they were assaulted at Trump rally,Human
South Dakota House fails to override veto of transgender bathroom bill,Human
U.S. senators urge Obama to push for female U.N. Secretary-General,Human
Kentucky governor sues to close abortion clinic,Human
Michigan governor issues appeal over Flint funds denial,Human
Obama: 20 million Americans insured thanks to 'Obamacare',Human
New Jersey Governor Christie says he urged Trump not to leave Republican Party,Human
Romney's anti-Trump speech ignites social media debate,Human
Florida Gov. Scott not endorsing 2016 Republican presidential candidate,Human
"No sign of end to fight on U.S. ambassador to Mexico, Rubio holds firm",Human
Trump to fundraise for campaign if he wins Republican nomination: CNN,Human
U.S. defense chief urges Congress to stick to bipartisan budget deal,Human
Cuba sending Americans to the beach during Obama visit,Human
New Jersey Governor Chris Christie's ratings slide in state poll,Human
U.S. top court denies bid to block mercury air pollution rule,Human
Donald Trump Jr. appears with white supremacist on radio show,Human
U.S. senator calls for GAO probe to protect babies born drug-dependent,Human
"Trump makes overture to Ryan, while Republicans wrestle with party's future",Human
Mexico says won't pay for Trump's 'terrible' border wall,Human
"Carson signals exit, U.S. Republicans grapple with Trump victories",Human
Immunity to State Dept staffer who set up Clinton email server: WashPost,Human
Republican Trump releases healthcare proposals,Human
"Another debate brawl? Fox News, Kelly set for Trump rematch",Human
Key justice Kennedy wavers as Supreme Court confronts abortion,Human
"After primary win, Senate Banking chair may move some nominees",Human
Emotions run high outside courthouse for abortion showdown,Human
Oregon governor signs tiered minimum wage measure into law,Human
Appellate judge Kelly considered for Supreme Court: NYT,Human
"Christie slammed on social media, New Jersey press urges resignation",Human
Factbox: The race to the U.S. presidential nominations: How delegates are selected,Human
"Biden, Iraq's Abadi discuss military, financial support in call: White House",Human
Carson tells supporters no 'path forward' in presidential bid,Human
Republican Romney to make 'major speech' on 2016 presidential race: Fox,Human
U.S. 'very concerned' by media crackdown in Malaysia,Human
"Cruz gains in online betting, Trump still Republican favorite",Human
Trump a 'monster' spawned by Republicans: Senate Democratic leader,Human
Winning Democrat nomination needs voter coalition: Clinton campaign,Human
Obama to unveil U.S. Supreme Court nomination soon: Senator Reid,Human
Mexico to counter negative tone of U.S. presidential race,Human
Reeling Republican establishment running out of time to stop Trump,Human
How the Republican elite turned a blind eye to the rise and rise of Donald Trump,Human
"Factbox: Build a giant wall, cut Education Department. What a President Trump would do",Human
"Gaining momentum on Super Tuesday, Clinton takes aim at Trump",Human
NY court allows fraud claim against Trump University to proceed,Human
South Dakota governor vetoes transgender bathroom bill,Human
"Republican leaders condemn bigotry, but won't talk about Trump",Human
Now or never: Trump's 'wall' talk sparks migrant rush on U.S.-Mexico border,Human
"No breakthrough in Supreme Court dispute between Obama, Republicans",Human
Illinois judge dismisses Cruz eligibility complaint,Human
Wall Street's big short: President Donald J. Trump,Human
"NSA chief says 'when, not if' foreign country hacks U.S. infrastructure",Human
Senate's McConnell condemns white supremacists,Human
Secret Service investigating incident at Trump rally: White House,Human
"Secret Service probing agent, photographer fight at Trump rally ",Human
Supreme Court standoff looms over Republicans' Senate defense,Human
Obama asked Republican leaders to offer top court nominee: White House,Human
German minister warns on Washington trip against 'politics of fear',Human
Trump's low advertising spending weighs on U.S. broadcasters,Human
Trump's immigration outrage poses challenge for Cruz in Texas,Human
Nobel laureate Vargas Llosa calls Trump a 'clown and a racist',Human
Rubio backers spend big in Texas ahead of Super Tuesday,Human
Clinton campaign says TV spot shows commitment to fight predatory drug pricing,Human
Trump rivals call for release of NY Times editorial board tape,Human
"Hecklers disrupt Trump rally, photographer shoved to the ground",Human
U.S. State Department releases final batch of Clinton emails,Human
Thomas ends decade of self-imposed silence at Supreme Court,Human
Super Tuesday showdown: How the South won the spotlight,Human
Judicial panel members consider legal brief in Apple case: sources,Human
Attorney General Lynch says hopes Apple will comply with court order,Human
Court hears appeal of ruling in Menendez corruption case,Human
Judge blocks Indiana governor's order barring Syrian refugees,Human
Wife of 'American Sniper' making waves in Texas Republican politics,Human
No. 2 Senate Republican voices unease over Trump candidacy: CNN,Human
Obama adviser Deese to lead White House's Supreme Court process,Human
"Unlocking iPhone would leave millions exposed, Apple to tell Congress",Human
Connecticut cancels pay raises for managers as budget woes bite,Human
Republican Cruz taps homeschool niche in battle for Texas,Human
Trump naysayers push #NeverTrump on Twitter before Super Tuesday,Human
U.S. sentencing reform backers cite success at state level,Human
Sanders supporters' courtship of Clinton superdelegates may be backfiring,Human
"Clinton sets sights on Trump, general election after huge win in South Carolina",Human
Tech CEO Whitman calls Trump 'unfit' to be U.S. president,Human
Exclusive: Democratic Party slams GOP candidates on climate change,Human
Senator Jeff Sessions to endorse Trump White House bid: Drudge Report,Human
"Congresswoman quits Democratic National Committee, endorses Bernie Sanders",Human
Former Christie campaign finance chair slams Christie endorsement of Donald Trump,Human
"Republicans Rubio, Cruz release taxes, piling pressure on Trump",Human
Republican Ted Cruz releases four years of tax returns,Human
Two former presidents of Mexico compare Trump to Hitler,Human
Clinton wins big in South Carolina on way to 'Super Tuesday',Human
Buffett rails against presidential candidates who talk down economy,Human
"In hard-bitten rural South Carolina, many minds made up for Clinton",Human
Trump's obsession with WW2 generals strikes sour note with historians,Human
Trump's march stirs growing sense of dread among U.S. Republicans,Human
Michigan governor's aides urged switch away from Flint River,Human
Clinton deflects calls to release Wall Street speech transcripts,Human
U.S. Supreme Court justice candidate list still open: White House,Human
"Trump wins Christie backing, marches toward Super Tuesday",Human
Federal judge being considered for US Supreme Court nomination: Law Journal,Human
Trump and Christie laid foundation of their alliance years ago,Human
"Trump backing from Christie opens access to donors, mainstream advisers",Human
Trump being advised by ex-U.S. Lieutenant General who favors closer Russia ties,Human
Virginia governor signs gun law compromise measures,Human
"Obama, at battery plant, jabs Republicans on economic 'snake oil'",Human
IRS identifies more cyberattacks to access tax data,Human
"Ohio mayor pleads guilty to corruption charges, remains in office",Human
Trump vows to 'open up' libel laws if elected,Human
Ousted Michigan lawmakers face felony charges for affair cover-up,Human
State Department says to complete release of Clinton emails by Monday,Human
Trumps says expects 2012 Republican nominee Romney to back Rubio,Human
Exclusive: Super PACs backing Republican Cruz buy $2.4 million in ads in eight states,Human
Republican Rubio chips away at Trump with Super Tuesday looming,Human
"Bernie Sanders action toy slouches, points and raises lots of cash ",Human
"In Florida, Donald Trump has a model for success",Human
Rubio keeps swinging at Trump after Republican debate,Human
"Fight night: Rubio, Cruz gang up on Trump in debate ploy",Human
Republican Sandoval withdraws as possible Supreme Court pick,Human
"U.S., backed by China, proposes tough N.Korea sanctions at U.N.",Human
U.S. needs to streamline foreign arms sales approval process - McCain,Human
Clinton opposes recommendation to drop limits on futures contracts,Human
Senator McCain wants hearing on possible F-16 sale to Pakistan,Human
"In Flint, Sanders says water crisis should serve as wake-up call",Human
Biden rues 'damaging' tone against Mexico in U.S. presidential race,Human
Puerto Rico needs restructuring to avoid cascading defaults: Treasury,Human
"19 retired U.S. generals, admirals back Clinton's stance on Guantanamo",Human
Factbox: Highlights of draft U.N. North Korea sanctions resolution,Human
Committee chair McCain vows to block contract for new Northrop bomber,Human
Detroit mayor unveils budget with eye on shedding state oversight,Human
Democratic senators raise concerns about Charter-Time Warner Cable tie-up,Human
Kerry urges Congress not to rush to renew Iran sanctions measure,Human
U.S. and China align over North Korea sanctions resolution: White House,Human
Obama to meet Senate leaders over Supreme Court next week: White House,Human
"FBI director, Apple general counsel to testify March 1: House panel",Human
Michigan Governor Snyder to testify at House hearing on Flint,Human
Tennessee governor endorses Rubio in Republican presidential bid,Human
Senior Republican says Obama seeking moderate Supreme Court justice,Human
Obama says cautious about expectations for Syria deal,Human
Obama weighs Republican for Supreme Court,Human
Exclusive: Latino coalition releases policy agenda for 2016 U.S. election,Human
"Trump's surge confounds rivals, makes him betting favorite",Human
Factbox: The race to the U.S. presidential nominations: How delegates are selected,Human
U.S. lawmaker to introduce bill to broaden CFIUS mandate beyond security concerns,Human
"U.S. looks to Facebook, private groups to battle online extremism",Human
Texas court dismisses indictment against former governor Rick Perry,Human
Senate confirms Dr. Robert Califf to lead FDA,Human
Detroit mayor eyes legal action over pension shortfall,Human
House Republicans ready legal fight against Obama's Guantanamo plan,Human
Spy agencies say Clinton emails closely matched top secret documents: sources,Human
Ex-California lawmaker Yee sentenced to five years in prison,Human
Senators reach deal to help state water programs after Flint,Human
U.S. senators urge NHTSA to accelerate Takata air bag recall,Human
"Obama names first African-American, woman to be Librarian of Congress",Human
White House weighs possible Supreme Court nomination of Gov. Sandoval: source,Human
Clinton picks up endorsement from Senate Minority Leader Reid: CNN,Human
Online bettors see Donald Trump as odds-on Republican nominee,Human
Senate confirms Dr. Robert Califf to lead FDA,Human
Obama: Republicans risk diminishing credibility of Supreme Court,Human
Trump gains first endorsement from member of Congress,Human
Senator Corker: Congress won't end Cuba embargo under Obama,Human
Pennsylvania governor Wolf has 'treatable' prostate cancer,Human
Trump loves 'the poorly educated' ... and social media clamors,Human
"White House names new energy, climate adviser at National Security Council",Human
Senate Republicans rule out action on Obama high court pick,Human
Trump's outrage finds ready audience in struggling South,Human
Judge orders Clinton aides to be questioned under oath on emails,Human
Cruz seeks dismissal of case challenging U.S. presidential eligibility,Human
"Republican Rubio seeks boost in Nevada, but Trump dominates polls",Human
Obama makes last attempt to persuade Congress to close Guantanamo,Human
U.S. lawmakers offer bills to counter Obama Guantanamo plan,Human
House Democrats introduce bill to curb company tax inversions,Human
"Ben Carson says Obama was 'raised white,' sparking Twitter furor",Human
Senate leader McConnell sees 'no action' on Obama court pick,Human
Unprecedented not to hold Senate hearing on top court pick: White House,Human
"Senators push protections for opioid-dependent parents, infants",Human
Judiciary committee senators won't consider Obama Supreme Court nominee,Human
N.C. city's vote to expand transgender rights draws state opposition,Human
Italy summons U.S. ambassador after reports U.S. spied on Berlusconi,Human
Senators say Republican consensus is no vote on Obama court nominee,Human
"U.N. welcomes Obama Guantanamo plan, but calls for due process",Human
"Cruz says would deport illegal immigrants, sharpens immigration stance",Human
"Rubio gets boost from Republican endorsements, Cruz missteps",Human
Kerry may visit Cuba soon for human rights dialogue,Human
U.S. Senate committee chairman questions Pakistan F-16 deal,Human
Obama urges Congress to give plan to close Guantanamo a fair hearing,Human
Obama makes last attempt to persuade Congress to close Guantanamo,Human
Trump on rival Bush's exit: Don't look at me,Human
Rubio denies report on Romney White House endorsement: CNN,Human
"More Californians register to vote but fewer are Republicans, state says",Human
"Rubio gets boost from Republican endorsements, Cruz missteps",Human
Republican Kirk breaks with U.S. Senate leaders on high court seat,Human
Pentagon to submit plan to Congress for closing Guantanamo prison,Human
California lawmaker aims to reduce eating disorders among fashion models,Human
Republican candidate Kasich's 'kitchen' comment draws scorn,Human
Senate moves closer to confirming Califf to lead FDA,Human
Illinois governor eyes blocking Chicago school debt,Human
Republican Senator Kirk says he wants Senate to vote on Supreme Court nominee,Human
Top tech official at hacked U.S. personnel agency retires under pressure,Human
Senator McCaskill to be absent for three weeks for cancer treatment,Human
"Clinton, Sanders race takes on angrier tone after Nevada",Human
Republican Rubio scores more endorsements for president,Human
Activist Mckesson releases platform in Baltimore mayoral race,Human
Puerto Rico may issue delayed audited 2014 statements in April,Human
Senate banking panel Democrats seek action on Obama nominees,Human
Atlantic City mayor terms N.J. takeover plan 'fascist dictatorship',Human
Obama: China knows it cannot sustain export-driven growth model,Human
U.S. to push for greater fiscal spending at G20: Treasury official,Human
Rubio picks outgoing Devon executive to oversee energy policy issues,Human
Obama says cautiously optimistic of getting TPP trade deal passed,Human
Republican Marco Rubio winning Wall Street fundraising race,Human
Romney to endorse Rubio in 2016 Republican White House race: report,Human
"After Nevada, Sanders faces struggle to broaden appeal",Human
Republican candidates offer stark contrast in visions as field thins,Human
"Trump wins decisively in South Carolina, Clinton clinches Nevada",Human
Rubio sharpens attacks after latest Trump win in White House race,Human
Many U.S. Catholics unfazed by pope's clash with Trump,Human
How Egypt's changing culture led one emigre to Trump,Human
Wealthy donors drawn to Rubio White House bid after Bush drops out,Human
Unforced errors and miscalculations end Bush's White House hopes,Human
Republican Jeb Bush ends 2016 presidential campaign,Human
Illinois judge to decide jurisdiction over Cruz eligibility complaint,Human
"Vatican to Trump: It's not 'personal,' it's religion",Human
"At Scalia funeral, led by son, U.S. court battle in recess",Human
"Republican Trump backed Iraq war in 2002 interview, says views changed",Human
Key South Carolina Democrat Clyburn endorses Clinton for president,Human
"Oil industry bet big on Jeb Bush for president, Reuters review shows. Now what?",Human
Pressure grows on Hillary Clinton to release Goldman Sachs speeches,Human
"Republican White House hopefuls Rubio, Bush battle it out in South Carolina",Human
Bush hires Ohio political veteran as national adviser,Human
"Obama to meet Raul Castro, dissidents on historic trip to Cuba",Human
Supreme Court denies stay request in North Carolina redistricting case,Human
Obama digs into research on potential Supreme Court picks,Human
Pope's comments on Trump not a personal attack: papal spokesman,Human
U.S. proposes hike in Medicare Advantage payments; insurer shares rise,Human
"White House, House Republicans spar over Zika, Ebola funding",Human
Shift in U.S. sanctions could ground Russian rocket engines: general,Human
Texas official to retire after criticizing Planned Parenthood cuts,Human
Obama signs North Korea sanctions bill into law: White House,Human
Most Americans want Obama to nominate Scalia's replacement: Reuters/Ipsos,Human
Biden says Obama won't be able to pick the 'most liberal jurist',Human
Apple likely to invoke free-speech rights in encryption fight,Human
Pope says Trump 'not Christian' in a sign of global concern,Human
"Facebook, Twitter support Apple on encryption dispute with FBI",Human
Key U.S. lawmaker suggests openness to encryption legislation after Apple order,Human
Obama will move 'promptly' to pick Supreme Court justice: White House,Human
Obama to name Scalia replacement in just over three weeks: Senator Reid,Human
Will Tim Cook's privacy stance win or lose customers for Apple?,Human
Biden says Trump could win Republican race: MSNBC,Human
Biden says 'no desire' to be on Supreme Court: MSNBC,Human
"Sanders, Trump give union hope in fight for Carrier jobs",Human
Prominent South Carolina congressman to endorse Hillary Clinton: NBC News,Human
Dissidents hope for public recognition from Obama on Cuba visit,Human
Pope's comments on Trump's Christianity spark jokes on Twitter,Human
Treasury's Weiss to be witness at House Puerto Rico hearing: official,Human
Puerto Rico may have better chance of Supreme Court win after Scalia death,Human
"Ahead of Obama visit, Cuba says ready to talk about rights",Human
Wisconsin blocks federal funds from reaching Planned Parenthood,Human
Trump says pope will wish he was president if Vatican is attacked by Islamic State,Human
Obama's Cuba trip will send important signal to Cubans: White House,Human
Republican presidential race erupts into four-way battle,Human
Trump leads Republican field nationally by more than 20 points: poll,Human
U.S. and EU warn China on need to respect South China Sea ruling,Human
Indicted Texas mayor arrested for disrupting meeting seeking his ouster,Human
"Obama to make historic trip to Cuba in coming weeks, official says",Human
Trump says Israeli-Palestinian deal may be impossible,Human
Illinois governor seeks broad power to balance state budget,Human
White House rebuts Supreme Court hypocrisy charge against Obama,Human
"Obama says upgrading U.S. cybersecurity is complex, long-term job",Human
Obama plans to sign North Korea sanctions bill: White House,Human
South Dakota governor considers transgender bathroom bill,Human
Ex-White House aide and ex-IBM CEO to head cyber security panel,Human
California Attorney General Harris says not interested in Supreme Court job: report,Human
"White House holds roundtable on Puerto Rico crisis, calls for Congress to act",Human
Obama says ASEAN summit discussed need to lower tensions in South China Sea,Human
Obama scolds Senate Republicans for Supreme Court threat,Human
"Hillary Clinton, in push for black support, promises to tackle racial disparities",Human
"Obama, ASEAN discuss South China Sea tensions, but no joint mention of China",Human
"Cruz tax plan would slash U.S. revenue, favor wealthy: analysis",Human
Trump is a ------: White House hopeful plays fill-in-the-blanks with voters,Human
Obama says Republican campaign rhetoric troubling to outside world,Human
White House hopeful John Kasich hires former George W. Bush press aide,Human
New Jersey Governor Christie outlines 2017 'fiscal restraint' budget,Human
Obama scolds Senate Republicans for Supreme Court threat,Human
Pennsylvania attorney general facing trial will not seek re-election,Human
Republicans gear up for Supreme Court battle after Scalia's death,Human
